4,0.8|1,0|0,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|0,0|0,0
13,0|13,0|0,0|0,0
n,0|25,0|n,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|0,0|0,0
13,0|13,0|0,0|0,0
n,0|25,0|n,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|0,0|0,0
13,0|13,0|0,0|0,0
4,0|25,0|0,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|0,0|0,0
13,0|13,0|0,0|0,0
4,0|25,0|0,0|0,0
13,0|13,0|0,0|0,0
n,0|13,0|0,0|0,0
13,0|13,0|0,0|0,0
4,0|25,0|0,0|0,0
13,0|13,0|0,0|0,0
n,0|13,0|0,0|0,0
13,0|13,0|0,0|0,0
11,0|25,0|0,0|0,0
13,0|13,0|0,0|0,0
n,0|13,0|0,0|0,0
13,0|13,0|0,0|0,0
4,0|25,0|0,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|0,0|0,0
13,0|13,0|0,0|0,0
n,0|29,0|n,0|0,0
14,0|14,0|0,0|0,0
16,0|16,0|0,0|0,0
13,0|13,0|0,0|0,0
n,0|29,0|n,0|0,0
13,0|13,0|0,0|0,0
16,0|16,0|0,0|0,0
31,0|31,0|0,0|0,0
20,0|n,0|0,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|0,0|0,0
13,0|13,0|0,0|0,0
4,0|25,0|0,0|0,0
13,0|13,0|n,0|0,0
1,0|13,0|0,0|0,0
14,0|19,0|0,0|0,0
20,0|n,0|n,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|0,0|0,0
13,0|13,0|0,0|0,0
4,0|25,0|0,0|0,0
13,0|13,0|n,0|0,0
1,0|13,0|0,0|0,0
14,0|19,0|0,0|0,0
20,0|n,0|n,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|0,0|0,0
13,0|13,0|0,0|0,0
4,0|25,0|0,0|0,0
13,0|13,0|n,0|0,0
1,0|1,0|0,0|0,0
14,0|19,0|0,0|0,0
20,0|n,0|n,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|0,0|0,0
13,0|13,0|0,0|0,0
4,0|25,0|0,0|0,0
13,0|13,0|n,0|0,0
1,0|1,0|0,0|0,0
14,0|19,0|0,0|0,0
n,0|29,0|n,0|0,0
14,0|14,0|0,0|0,0
16,0|16,0|0,0|0,0
13,0|13,0|0,0|0,0
n,0|29,0|n,0|0,0
13,0|13,0|0,0|0,0
16,0|16,0|0,0|0,0
31,0|31,0|0,0|0,0
n,0|n,0|n,0|0,0
n,0|n,0|n,0|0,0
n,0|n,0|n,0|0,0
n,0|n,0|n,0|0,0
n,0|n,0|n,0|0,0
n,0|n,0|n,0|0,0
19,0|n,0|0,0|0,0
4,0|1,0|1,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|13,0|0,0
13,0|13,0|6,0|0,0
n,0|25,0|n,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|13,0|0,0
13,0|13,0|6,0|0,0
n,0|25,0|n,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|13,0|0,0
13,0|13,0|6,0|0,0
4,0|25,0|0,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|13,0|0,0
13,0|13,0|6,0|0,0
4,0|25,0|0,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|13,0|0,0
13,0|13,0|6,0|0,0
4,0|25,0|11,0|0,0
13,0|13,0|19,0|0,0
n,0|13,0|13,0|0,0
13,0|13,0|6,0|0,0
11,0|25,0|1,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|13,0|0,0
13,0|13,0|6,0|0,0
4,0|25,0|4,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|13,0|0,0
13,0|13,0|6,0|0,0
n,0|29,0|n,0|0,0
14,0|14,0|6,0|0,0
16,0|16,0|15,0|0,0
13,0|13,0|12,0|0,0
n,0|29,0|n,0|0,0
13,0|13,0|6,0|0,0
16,0|16,0|15,0|0,0
31,0|31,0|12,0|0,0
20,0|n,0|9,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|13,0|0,0
13,0|13,0|6,0|0,0
4,0|25,0|20,0|0,0
13,0|13,0|n,0|0,0
1,0|13,0|1,0|0,0
14,0|19,0|4,0|0,0
20,0|n,0|n,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|13,0|0,0
13,0|13,0|14,0|0,0
4,0|25,0|20,0|0,0
13,0|13,0|n,0|0,0
1,0|13,0|1,0|0,0
14,0|19,0|4,0|0,0
20,0|n,0|n,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|13,0|0,0
13,0|13,0|6,0|0,0
4,0|25,0|20,0|0,0
13,0|13,0|n,0|0,0
1,0|1,0|1,0|0,0
14,0|19,0|4,0|0,0
20,0|n,0|n,0|0,0
13,0|13,0|n,0|0,0
n,0|13,0|13,0|0,0
13,0|13,0|6,0|0,0
4,0|25,0|20,0|0,0
13,0|13,0|n,0|0,0
1,0|1,0|1,0|0,0
14,0|19,0|4,0|0,0
n,0|29,0|n,0|0,0
14,0|14,0|6,0|0,0
16,0|16,0|15,0|0,0
13,0|13,0|12,0|0,0
n,0|29,0|n,0|0,0
13,0|13,0|6,0|0,0
16,0|16,0|15,0|0,0
31,0|31,0|12,0|0,0
n,0|n,0|n,0|0,0
n,0|n,0|n,0|0,0
n,0|n,0|n,0|0,0
n,0|n,0|n,0|0,0
n,0|n,0|n,0|0,0
n,0|n,0|n,0|0,0
19,0|n,0|19,0|0,0
4,0|1,0|19,0|0,0
19,0|13,0|8,0|0,0
n,0|13,0|19,0|3,0
19,0|13,0|8,0|0,0
n,0|25,0|19,0|1,0
19,0|13,0|8,0|22,0
n,0|13,0|19,0|17,0
19,0|13,0|8,0|22,0
n,0|25,0|19,0|0,0
19,0|13,0|8,0|0,0
n,0|13,0|19,0|3,0
19,0|13,0|8,0|0,0
4,0|25,0|19,0|1,0
19,0|13,0|8,0|22,0
n,0|13,0|19,0|17,0
19,0|13,0|8,0|22,0
4,0|25,0|19,0|0,0
19,0|13,0|8,0|0,0
n,0|13,0|19,0|3,0
19,0|13,0|8,0|0,0
4,0|25,0|19,0|1,0
19,0|13,0|8,0|22,0
n,0|13,0|19,0|17,0
19,0|13,0|8,0|22,0
11,0|25,0|19,0|0,0
19,0|13,0|8,0|0,0
n,0|13,0|19,0|3,0
19,0|13,0|8,0|0,0
4,0|25,0|19,0|1,0
19,0|13,0|8,0|22,0
n,0|13,0|19,0|17,0
19,0|13,0|8,0|22,0
n,0|29,0|19,0|0,0
14,0|14,0|0,0|0,0
16,0|16,0|0,0|3,0
19,0|13,0|8,0|0,0
n,0|29,0|19,0|1,0
19,0|13,0|8,0|22,0
16,0|16,0|19,0|17,0
31,0|31,0|0,0|22,0
20,0|n,0|0,0|0,0
19,0|13,0|8,0|0,0
n,0|13,0|19,0|3,0
19,0|13,0|8,0|0,0
4,0|25,0|19,0|1,0
19,0|13,0|8,0|22,0
1,0|13,0|19,0|17,0
14,0|13,0|8,0|22,0
20,0|19,0|19,0|0,0
19,0|13,0|8,0|0,0
n,0|13,0|19,0|3,0
19,0|13,0|8,0|0,0
4,0|25,0|19,0|1,0
19,0|13,0|8,0|22,0
1,0|13,0|19,0|17,0
14,0|13,0|8,0|22,0
20,0|19,0|19,0|0,0
19,0|13,0|8,0|0,0
n,0|13,0|19,0|3,0
19,0|13,0|8,0|0,0
4,0|25,0|19,0|1,0
19,0|13,0|8,0|22,0
1,0|1,0|19,0|17,0
14,0|13,0|8,0|22,0
20,0|19,0|19,0|0,0
19,0|13,0|8,0|0,0
n,0|13,0|19,0|3,0
19,0|13,0|8,0|0,0
4,0|25,0|19,0|1,0
19,0|13,0|8,0|22,0
1,0|1,0|19,0|17,0
14,0|13,0|8,0|22,0
n,0|29,0|19,0|0,0
14,0|14,0|0,0|0,0
16,0|16,0|0,0|3,0
19,0|13,0|8,0|0,0
n,0|29,0|19,0|1,0
