4,0.8|1,0|0,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|13,0|0,0
13,0|13,0|0,0
4,0|25,0|0,0
13,0|n,0|n,0
n,0|n,0|0,0
4,0|1,0|0,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|13,0|0,0
13,0|13,0|0,0
4,0|25,0|0,0
13,0|n,0|n,0
n,0|n,0|0,0
13,0|19,0|0,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|13,0|0,0
13,0|13,0|0,0
4,0|25,0|0,0
13,0|n,0|n,0
n,0|n,0|0,0
4,0|1,0|0,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|13,0|0,0
13,0|13,0|0,0
4,0|25,0|0,0
13,0|n,0|n,0
n,0|n,0|0,0
4,0|1,0|0,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|13,0|0,0
13,0|13,0|0,0
4,0|25,0|0,0
13,0|n,0|n,0
n,0|n,0|0,0
13,0|19,0|0,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|13,0|0,0
13,0|13,0|0,0
4,0|25,0|0,0
13,0|n,0|n,0
n,0|n,0|0,0
n,0|29,0|n,0
14,0|14,0|0,0
16,0|16,0|0,0
13,0|13,0|0,0
n,0|29,0|0,0
13,0|13,0|0,0
16,0|16,0|0,0
4,0|29,0|0,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
4,0.8|1,0|15,0
13,0|13,0|n,0
n,0|13,0|13,0
13,0|13,0|0,0
n,0|25,0|n,0
13,0|13,0|n,0
n,0|13,0|13,0
13,0|13,0|0,0
n,0|25,0|n,0
13,0|13,0|n,0
n,0|13,0|13,0
13,0|13,0|0,0
4,0|25,0|4,0
13,0|13,0|n,0
n,0|13,0|13,0
13,0|13,0|0,0
4,0|25,0|15,0
13,0|13,0|n,0
n,0|13,0|13,0
13,0|13,0|0,0
4,0|25,0|11,0
13,0|13,0|n,0
n,0|13,0|13,0
13,0|13,0|0,0
11,0|25,0|15,0
13,0|13,0|n,0
n,0|13,0|13,0
13,0|13,0|0,0
4,0|25,0|4,0
13,0|13,0|n,0
n,0|13,0|13,0
13,0|13,0|0,0
n,0|29,0|n,0
14,0|14,0|0,0
16,0|16,0|15,0
13,0|13,0|12,0
n,0|29,0|29,0
13,0|13,0|0,0
16,0|16,0|15,0
0,0|31,0|0,0
20,0|n,0|0,0
13,0|13,0|n,0
n,0|13,0|13,0
13,0|13,0|0,0
4,0|25,0|20,0
13,0|13,0|n,0
1,0|13,0|15,0
14,0|19,0|0,0
20,0|n,0|0,0
13,0|13,0|n,0
n,0|13,0|0,0
13,0|13,0|0,0
4,0|25,0|0,0
13,0|13,0|n,0
1,0|13,0|15,0
14,0|19,0|4,0
20,0|n,0|0,0
13,0|13,0|n,0
n,0|13,0|13,0
13,0|13,0|0,0
4,0|25,0|20,0
13,0|13,0|n,0
1,0|1,0|15,0
14,0|19,0|4,0
20,0|n,0|0,0
13,0|13,0|n,0
n,0|13,0|13,0
13,0|13,0|0,0
4,0|25,0|20,0
13,0|13,0|n,0
1,0|1,0|15,0
14,0|19,0|4,0
n,0|29,0|n,0
14,0|14,0|0,0
16,0|16,0|15,0
13,0|13,0|0,0
n,0|29,0|29,0
13,0|13,0|0,0
16,0|16,0|15,0
4,0|29,0|29,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
19,0|13,0|19,0
n,0|13,0|13,0
13,0|13,0|0,0
4,0|25,0|20,0
13,0|13,0|n,0
1,0|13,0|15,0
14,0|19,0|4,0
20,0|n,0|19,0
13,0|13,0|n,0
n,0|13,0|13,0
13,0|13,0|0,0
4,0|25,0|20,0
13,0|13,0|n,0
1,0|13,0|15,0
14,0|19,0|4,0
20,0|n,0|29,0
13,0|13,0|n,0
n,0|13,0|13,0
13,0|13,0|0,0
4,0|29,0|29,0
13,0|13,0|n,0
1,0|1,0|1,0
14,0|19,0|4,0
20,0|n,0|29,0
13,0|13,0|n,0
n,0|13,0|13,0
13,0|13,0|0,0
4,0|29,0|29,0
13,0|13,0|n,0
1,0|1,0|15,0
14,0|19,0|4,0
n,0|29,0|n,0
19,0|13,0|19,0
n,0|13,0|13,0
13,0|13,0|0,0
4,0|25,0|20,0
13,0|13,0|n,0
1,0|13,0|15,0
14,0|19,0|4,0
20,0|n,0|19,0
13,0|13,0|n,0
n,0|13,0|13,0
13,0|13,0|0,0
4,0|25,0|20,0
13,0|13,0|n,0
1,0|13,0|15,0
14,0|19,0|4,0
20,0|n,0|29,0
13,0|13,0|n,0
1,0|13,0|13,0
13,0|13,0|14,0
4,0|29,0|29,0
13,0|13,0|n,0
1,0|1,0|15,0
14,0|19,0|4,0
20,0|n,0|29,0
13,0|13,0|n,0
1,0|13,0|13,0
13,0|13,0|0,0
4,0|29,0|29,0
13,0|13,0|n,0
1,0|1,0|15,0
14,0|19,0|4,0
4,0|29,0|29,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
n,0|n,0|n,0
